Eligibility Year,Eligibility Month,County,Plan Name,Number of Enrollees
2019,7,ALBANY,CDPHP,3328
2019,7,ALBANY,FIDELIS HC NY,1513
2019,7,ALBANY,MVP,320
2019,7,ALBANY,UNITED HEALTHCARE COMM PLAN,82
2019,7,ALBANY,WELLCARE,57
2019,7,ALLEGANY,FIDELIS HC NY,415
2019,7,ALLEGANY,HEALTHNOW,136
2019,7,ALLEGANY,UNIVERA COMMUNITY HEALTH INC,138
2019,7,BRONX,AFFINITY HEALTH PLAN,1982
2019,7,BRONX,AMERIGROUP NY,1738
2019,7,BRONX,FIDELIS HC NY,3122
2019,7,BRONX,HEALTHFIRST,8346
2019,7,BRONX,HIP,688
2019,7,BRONX,METROPLUS,4316
2019,7,BRONX,UNITED HEALTHCARE COMM PLAN,1216
2019,7,BRONX,WELLCARE,758
2019,7,BROOME,CDPHP,136
2019,7,BROOME,EXCELLUS,2032
2019,7,BROOME,FIDELIS HC NY,851
2019,7,BROOME,UNITED HEALTHCARE COMM PLAN,111
2019,7,BROOME,WELLCARE,1
2019,7,CATTARAUGUS,FIDELIS HC NY,862
2019,7,CATTARAUGUS,HEALTHNOW,261
2019,7,CATTARAUGUS,UNIVERA COMMUNITY HEALTH INC,330
2019,7,CAYUGA,EXCELLUS,551
2019,7,CAYUGA,FIDELIS HC NY,1122
2019,7,CAYUGA,UNITED HEALTHCARE COMM PLAN,157
2019,7,CHAUTAUQUA,FIDELIS HC NY,1874
2019,7,CHAUTAUQUA,HEALTHNOW,218
2019,7,CHAUTAUQUA,UNITED HEALTHCARE COMM PLAN,5
2019,7,CHAUTAUQUA,UNIVERA COMMUNITY HEALTH INC,143
2019,7,CHEMUNG,EXCELLUS,281
2019,7,CHEMUNG,FIDELIS HC NY,722
2019,7,CHEMUNG,UNITED HEALTHCARE COMM PLAN,86
2019,7,CHENANGO,CDPHP,26
2019,7,CHENANGO,EXCELLUS,379
2019,7,CHENANGO,FIDELIS HC NY,676
2019,7,CHENANGO,UNITED HEALTHCARE COMM PLAN,51
2019,7,CLINTON,CDPHP,10
2019,7,CLINTON,EXCELLUS,358
2019,7,CLINTON,FIDELIS HC NY,1198
2019,7,CLINTON,UNITED HEALTHCARE COMM PLAN,41
2019,7,COLUMBIA,CDPHP,646
2019,7,COLUMBIA,FIDELIS HC NY,707
2019,7,COLUMBIA,MVP,63
2019,7,COLUMBIA,UNITED HEALTHCARE COMM PLAN,13
2019,7,CORTLAND,EXCELLUS,251
2019,7,CORTLAND,FIDELIS HC NY,786
2019,7,CORTLAND,TOTAL CARE,27
2019,7,DELAWARE,CDPHP,56
2019,7,DELAWARE,EXCELLUS,131
2019,7,DELAWARE,FIDELIS HC NY,529
2019,7,DUTCHESS,CDPHP,113
2019,7,DUTCHESS,FIDELIS HC NY,3073
2019,7,DUTCHESS,MVP,2249
2019,7,DUTCHESS,WELLCARE,432
2019,7,ERIE,EXCELLUS,166
2019,7,ERIE,FIDELIS HC NY,4172
2019,7,ERIE,HEALTHNOW,2046
2019,7,ERIE,INDEPENDENT HEALTH,5247
2019,7,ERIE,UNIVERA COMMUNITY HEALTH INC,1780
2019,7,ERIE,WELLCARE,153
2019,7,ESSEX,CDPHP,28
2019,7,ESSEX,EXCELLUS,243
2019,7,ESSEX,FIDELIS HC NY,577
2019,7,ESSEX,UNITED HEALTHCARE COMM PLAN,16
2019,7,FRANKLIN,CDPHP,5
2019,7,FRANKLIN,EXCELLUS,267
2019,7,FRANKLIN,FIDELIS HC NY,535
2019,7,FULTON,CDPHP,228
2019,7,FULTON,EXCELLUS,48
2019,7,FULTON,FIDELIS HC NY,1159
2019,7,FULTON,UNITED HEALTHCARE COMM PLAN,6
2019,7,GENESEE,FIDELIS HC NY,719
2019,7,GENESEE,HEALTHNOW,80
2019,7,GENESEE,MVP,407
2019,7,GENESEE,UNITED HEALTHCARE COMM PLAN,50
2019,7,GREENE,CDPHP,479
2019,7,GREENE,FIDELIS HC NY,470
2019,7,GREENE,MVP,40
2019,7,HAMILTON,EXCELLUS,13
2019,7,HAMILTON,FIDELIS HC NY,83
2019,7,HERKIMER,CDPHP,22
2019,7,HERKIMER,EXCELLUS,355
2019,7,HERKIMER,FIDELIS HC NY,1343
2019,7,HERKIMER,UNITED HEALTHCARE COMM PLAN,13
2019,7,JEFFERSON,EXCELLUS,829
2019,7,JEFFERSON,FIDELIS HC NY,306
2019,7,JEFFERSON,MVP,143
2019,7,JEFFERSON,UNITED HEALTHCARE COMM PLAN,732
2019,7,KINGS,AFFINITY HEALTH PLAN,683
2019,7,KINGS,AMERIGROUP NY,12970
2019,7,KINGS,FIDELIS HC NY,11063
2019,7,KINGS,HEALTHFIRST,11958
2019,7,KINGS,HIP,1461
2019,7,KINGS,METROPLUS,5893
2019,7,KINGS,UNITED HEALTHCARE COMM PLAN,13542
2019,7,KINGS,WELLCARE,836
2019,7,LEWIS,EXCELLUS,380
2019,7,LEWIS,FIDELIS HC NY,274
2019,7,LEWIS,MVP,59
2019,7,LEWIS,UNITED HEALTHCARE COMM PLAN,114
2019,7,LIVINGSTON,EXCELLUS,781
2019,7,LIVINGSTON,FIDELIS HC NY,269
2019,7,LIVINGSTON,MVP,148
2019,7,MADISON,CDPHP,3
2019,7,MADISON,EXCELLUS,412
2019,7,MADISON,FIDELIS HC NY,916
2019,7,MADISON,UNITED HEALTHCARE COMM PLAN,81
2019,7,MONROE,EXCELLUS,11073
2019,7,MONROE,FIDELIS HC NY,1485
2019,7,MONROE,MVP,1371
2019,7,MONROE,UNITED HEALTHCARE COMM PLAN,544
2019,7,MONROE,UNIVERA COMMUNITY HEALTH INC,179
2019,7,MONTGOMERY,CDPHP,357
2019,7,MONTGOMERY,EXCELLUS,41
2019,7,MONTGOMERY,FIDELIS HC NY,910
2019,7,NASSAU,AFFINITY HEALTH PLAN,1261
2019,7,NASSAU,AMERIGROUP NY,6102
2019,7,NASSAU,FIDELIS HC NY,8961
2019,7,NASSAU,HEALTHFIRST,5653
2019,7,NASSAU,HIP,1928
2019,7,NASSAU,UNITED HEALTHCARE COMM PLAN,9332
2019,7,NASSAU,WELLCARE,535
